subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
 114	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	114966.329068	114966.587657	114967.327896	7.508129e-01	3	none	NaN	NaN
 114	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	114968.097479	114968.356077	114969.096298	8.425790e-01	39	none	NaN	NaN
 114	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	114969.865907	114970.124502	114970.864750	6.590469e-01	15	39	114972.421167	1
 114	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	114973.194204	114973.452799	114974.193065	7.841824e-01	28	none	NaN	NaN
 114	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	114974.962623	114975.221215	114975.961389	7.174435e-01	27	none	NaN	NaN
 114	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	114976.731035	114976.989634	114977.729987	6.924164e-01	6	none	NaN	NaN
 114	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	114978.499455	114978.758048	114979.498267	6.924164e-01	31	39	114980.781216	1
 114	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	114981.552485	114981.811075	114982.551316	6.924164e-01	45	none	NaN	NaN
 114	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	114983.320905	114983.579495	114984.319703	7.424706e-01	50	39	114987.237265	0
 114	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	114988.008882	114988.267469	114989.007800	7.341282e-01	19	none	NaN	NaN
 114	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	114989.777301	114990.035888	114990.776055	8.342366e-01	5	37	114991.693328	1
 114	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	114992.471634	114992.730221	114993.470433	6.757316e-01	29	none	NaN	NaN
 114	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	114994.240050	114994.498645	114995.238958	8.092095e-01	7	none	NaN	NaN
 114	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	114996.008472	114996.267062	114997.007346	8.175519e-01	20	none	NaN	NaN
 114	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	114997.776886	114998.035476	114998.775671	7.841824e-01	13	none	NaN	NaN
 114	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	114999.545308	114999.803903	115000.544099	7.508129e-01	43	none	NaN	NaN
 114	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	115001.313725	115001.572317	115002.312531	7.424706e-01	49	none	NaN	NaN
 114	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	115003.082146	115003.340734	115004.081037	7.341282e-01	48	none	NaN	NaN
