subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
128	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1928577.605818	1928577.864406	1928578.604740	7.507618e-01	3	none	NaN	NaN
128	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1928579.374234	1928579.632823	1928580.373022	8.425216e-01	39	none	NaN	NaN
128	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1928581.142652	1928581.401240	1928582.141481	6.590020e-01	15	40	1928584.131677	0
128	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1928584.904719	1928585.163304	1928585.903428	7.841290e-01	28	none	NaN	NaN
128	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1928586.673136	1928586.931721	1928587.671822	7.173946e-01	27	none	NaN	NaN
128	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1928588.441552	1928588.700137	1928589.440358	6.923692e-01	6	none	NaN	NaN
128	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1928590.209971	1928590.468562	1928591.208800	6.923692e-01	31	40	1928593.443756	0
128	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1928594.222282	1928594.480865	1928595.221093	6.923692e-01	45	none	NaN	NaN
128	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1928595.990698	1928596.249288	1928596.989596	7.424200e-01	50	39	1928598.315818	0
128	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1928599.093772	1928599.352361	1928600.092570	7.340782e-01	19	none	NaN	NaN
128	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1928600.862188	1928601.120784	1928601.861063	8.341798e-01	5	39	1928602.947890	0
128	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1928603.723353	1928603.981950	1928604.722158	6.756856e-01	29	none	NaN	NaN
128	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1928605.491779	1928605.750368	1928606.490501	8.091544e-01	7	none	NaN	NaN
