subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
140	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1290475.988637	1290476.247224	1290476.928981	6.923365e-01	4	none	NaN	NaN
140	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1290477.698655	1290477.957252	1290478.639115	7.173607e-01	1	none	NaN	NaN
140	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1290479.408686	1290479.667275	1290480.349055	7.840920e-01	6	37	1290483.519935	1
140	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1290484.296861	1290484.555453	1290485.237376	8.257990e-01	11	none	NaN	NaN
140	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1290486.015229	1290486.273823	1290486.955628	8.508232e-01	13	39	1290489.936062	1
140	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1290490.711541	1290490.970132	1290491.651829	7.423850e-01	28	none	NaN	NaN
140	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1290492.421567	1290492.680162	1290493.362008	8.091162e-01	14	none	NaN	NaN
140	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1290494.131598	1290494.390188	1290495.072041	6.506295e-01	5	none	NaN	NaN
140	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1290495.841623	1290496.100212	1290496.782019	7.590678e-01	34	37	1290501.280178	0
140	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1290502.056102	1290502.314696	1290502.996390	6.756537e-01	38	none	NaN	NaN
