subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	EEGtrigger	responseKey	responseTime	accuracy
421341	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	380519.071233	380519.314707	380520.058862		none	NaN	NaN
421341	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	380520.817029	380521.060511	380521.804649	1	none	NaN	NaN
421341	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	380522.559996	380522.803520	380523.547888		none	NaN	NaN
421341	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	380524.303122	380524.546730	380525.290788	&	none	NaN	NaN
421341	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	380526.047788	380526.291485	380527.035541	%	none	NaN	NaN
421341	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	380527.790561	380528.034114	380528.778205		none	NaN	NaN
421341	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	380529.533006	380529.776588	380530.520661	)	39	380533.406615	1.000000
421341	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	380534.193141	380534.436425	380535.180856	7	39	380536.438463	1.000000
421341	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	380537.220675	380537.464203	380538.208398	<	37	380539.142486	1.000000
421341	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	380539.925479	380540.169032	380540.912991		none	NaN	NaN
421341	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	380541.666397	380541.909884	380542.654021		37	380543.158470	1.000000
